"basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt"
"20211116,006800,KR7006800007,미래에셋증권,KOSPI,9340,80,.86,9200,9340,9170,1283781,11921619270,635316408,5933855250720"
"20211116,007070,KR7007070006,GS리테일,KOSPI,33000,100,.3,32750,33000,32450,186695,6119262400,104717922,3455691426000"
"20211116,007310,KR7007310006,오뚜기,KOSPI,471000,-1500,-.32,468500,473000,466500,1820,855509500,3671981,1729503051000"
"20211116,007340,KR7007340003,디티알오토모티브,KOSPI,65200,-2400,-3.55,66000,66800,63000,55372,3596695300,9994005,651609126000"
"20211116,007660,KR7007660004,이수페타시스,KOSPI,4730,70,1.5,4375,4805,4305,6203795,28233840595,41268398,195199522540"
"20211116,008730,KR7008730004,율촌화학,KOSPI,20950,200,.96,20750,20950,20500,38633,797781350,24800000,519560000000"
"20211116,008770,KR7008770000,호텔신라,KOSPI,81200,-600,-.73,81600,81800,80900,211719,17180887900,39248121,3186947425200"
"20211116,008930,KR7008930000,한미사이언스,KOSPI,57900,-100,-.17,57100,58200,56700,56567,3258807600,67304611,3896936976900"
"20211116,009150,KR7009150004,삼성전기,KOSPI,167000,-2500,-1.47,170000,170500,166500,447805,75413373000,74693696,12473847232000"
"20211116,009240,KR7009240003,한샘,KOSPI,86800,-1200,-1.36,88100,88400,86600,75641,6617008400,23533928,2042744950400"
"20211116,009420,KR7009420001,한올바이오파마,KOSPI,20850,-100,-.48,20700,21000,20550,101628,2113940500,52240638,1089217302300"
"20211116,009540,KR7009540006,한국조선해양,KOSPI,101000,-1500,-1.46,102500,102500,100500,122875,12460073000,70773116,7148084716000"
"20211116,009830,KR7009830001,한화솔루션,KOSPI,36500,50,.14,36400,36750,36050,547013,19895172050,191278497,6981665140500"
"20211116,009970,KR7009970005,영원무역홀딩스,KOSPI,50200,0,0,49900,50300,49400,18958,943032950,13635592,684506718400"
"20211116,010060,KR7010060002,OCI,KOSPI,120000,1500,1.27,119500,123000,118000,246009,29511269500,23849371,2861924520000"
"20211116,010120,KR7010120004,LS ELECTRIC,KOSPI,58600,-1300,-2.17,59700,59700,58500,70388,4148330600,30000000,1758000000000"
"20211116,010130,KR7010130003,고려아연,KOSPI,505000,1000,.2,502000,510000,497000,33742,17035674000,18870000,9529350000000"
"20211116,010140,KR7010140002,삼성중공업,KOSPI,5770,-70,-1.2,5850,5860,5770,2972339,17247719440,630000000,3635100000000"
"20211116,010950,KR7010950004,S-Oil,KOSPI,94400,-1900,-1.97,96300,96300,94300,217368,20660233900,112582792,10627815564800"
"20211116,011070,KR7011070000,LG이노텍,KOSPI,269000,12000,4.67,257000,271000,255500,620274,164186755500,23667107,6366451783000"
"20211116,011170,KR7011170008,롯데케미칼,KOSPI,216000,-2500,-1.14,218500,221000,214000,105273,22884145500,34275419,7403490504000"
"20211116,011200,KR7011200003,HMM,KOSPI,26850,-650,-2.36,27500,27500,26550,4048488,108508899250,489039496,13130710467600"
"20211116,011210,KR7011210002,현대위아,KOSPI,77600,-1100,-1.4,78900,78900,77000,182283,14147149300,27195083,2110338440800"
"20211116,011780,KR7011780004,금호석유,KOSPI,167500,-2500,-1.47,168500,170000,167000,118180,19871593500,30467691,5103338242500"
"20211116,011790,KR7011790003,SKC,KOSPI,170000,-3000,-1.73,173000,175000,169000,318389,54395482000,37868298,6437610660000"
"20211116,012330,KR7012330007,현대모비스,KOSPI,242500,-5000,-2.02,245000,245500,241500,243270,59093204000,94793094,22987325295000"
"20211116,012450,KR7012450003,한화에어로스페이스,KOSPI,42000,50,.12,41650,42950,41600,489371,20642962600,50630000,2126460000000"
"20211116,012750,KR7012750006,에스원,KOSPI,82800,-1100,-1.31,82700,83800,82400,38998,3230135800,37999178,3146331938400"
"20211116,014680,KR7014680003,한솔케미칼,KOSPI,308000,-9500,-2.99,317000,317000,305000,132862,40909841500,11335195,3491240060000"
"20211116,014820,KR7014820005,동원시스템즈,KOSPI,50100,-1000,-1.96,50500,50600,49300,40345,2009083000,29188411,1462339391100"
"20211116,015760,KR7015760002,한국전력,KOSPI,22800,-50,-.22,22800,22900,22700,1038161,23671864150,641964077,14636780955600"
"20211116,016360,KR7016360000,삼성증권,KOSPI,48700,300,.62,48300,48900,48050,252946,12278759150,89300000,4348910000000"
"20211116,017670,KR7017670001,SK텔레콤,KOSPI,309500,0,0,0,0,0,0,0,72060143,22302614258500"
"20211116,017800,KR7017800004,현대엘리베이,KOSPI,47600,350,.74,47300,47700,46800,147914,6988071000,40815191,1942803091600"
"20211116,017960,KR7017960006,한국카본,KOSPI,11200,-350,-3.03,11450,11550,11100,714982,8039071400,43960757,492360478400"
"20211116,018260,KR7018260000,삼성에스디에스,KOSPI,159500,4500,2.9,154500,160500,154000,108473,17155423500,77377800,12341759100000"
"20211116,018880,KR7018880005,한온시스템,KOSPI,13800,-500,-3.5,14150,14300,13400,1388184,19148795900,533800000,7366440000000"
"20211116,021240,KR7021240007,코웨이,KOSPI,78900,-500,-.63,78600,79300,78000,159769,12554338100,73799619,5822789939100"
"20211116,022100,KR7022100002,포스코 ICT,KOSDAQ,6540,-30,-.46,6570,6640,6480,190393,1246348200,152034729,994307127660"
"20211116,023530,KR7023530009,롯데쇼핑,KOSPI,102500,-500,-.49,102500,104000,102000,40316,4142101500,28288755,2899597387500"
"20211116,024110,KR7024110009,기업은행,KOSPI,11200,50,.45,11100,11200,11050,746300,8316610900,744300587,8336166574400"
"20211116,026960,KR7026960005,동서,KOSPI,34450,-100,-.29,34150,34600,34000,87754,3009487400,99700000,3434665000000"
"20211116,028050,KR7028050003,삼성엔지니어링,KOSPI,22900,-100,-.43,23000,23150,22500,1045430,23770974550,196000000,4488400000000"
"20211116,028260,KR7028260008,삼성물산,KOSPI,114500,0,0,113500,116000,113500,157512,18072854500,186887081,21398570774500"
"20211116,028670,KR7028670008,팬오션,KOSPI,5700,-40,-.7,5700,5740,5620,2402179,13645236960,534569512,3047046218400"
"20211116,029780,KR7029780004,삼성카드,KOSPI,34200,-100,-.29,34200,34350,34050,86566,2958053100,115858891,3962374072200"
"20211116,030000,KR7030000004,제일기획,KOSPI,23500,150,.64,23150,23750,23100,157589,3698857300,115041225,2703468787500"
"20211116,030200,KR7030200000,KT,KOSPI,31100,-350,-1.11,31350,31400,31050,387799,12089388800,261111808,8120577228800"
"20211116,032640,KR7032640005,LG유플러스,KOSPI,14100,0,0,14100,14150,14000,1175534,16547563450,436611361,6156220190100"
"20211116,032830,KR7032830002,삼성생명,KOSPI,67000,600,.9,66200,67200,66000,209123,13938004300,200000000,13400000000000"
