iter	Passed	Remaining
403	10411	28244
404	10439	28224
405	10464	28198
406	10493	28179
407	10519	28156
408	10546	28132
409	10573	28110
410	10602	28091
411	10629	28070
412	10655	28043
413	10680	28015
414	10706	27991
415	10734	27970
416	10758	27941
417	10785	27918
418	10811	27894
419	10837	27867
420	10864	27845
421	10890	27820
422	10916	27793
423	10943	27772
424	10970	27748
425	10996	27723
426	11022	27699
427	11047	27670
428	11077	27653
429	11105	27633
430	11132	27612
431	11157	27584
432	11185	27563
433	11212	27539
434	11234	27505
435	11258	27475
436	11284	27448
437	11309	27422
438	11335	27396
439	11362	27373
440	11388	27347
441	11414	27322
442	11440	27295
443	11465	27269
444	11491	27244
445	11515	27214
446	11539	27182
447	11563	27152
448	11589	27129
449	11615	27102
450	11641	27078
451	11666	27050
452	11691	27022
453	11717	26996
454	11744	26972
455	11769	26945
456	11796	26922
457	11821	26894
458	11847	26870
459	11873	26845
460	11899	26819
461	11924	26791
462	11950	26766
463	11977	26743
464	12004	26718
465	12031	26695
466	12056	26668
467	12080	26639
468	12108	26617
469	12133	26591
470	12161	26569
471	12188	26545
472	12215	26523
473	12241	26496
474	12269	26475
475	12297	26455
476	12324	26432
477	12352	26409
478	12377	26383
479	12403	26358
480	12429	26331
481	12451	26298
482	12478	26274
483	12506	26252
484	12533	26229
485	12557	26199
486	12581	26171
487	12608	26147
488	12643	26139
489	12669	26115
490	12695	26090
491	12722	26064
492	12748	26040
493	12772	26009
494	12798	25984
495	12825	25961
496	12852	25937
497	12877	25911
498	12904	25886
499	12931	25862
500	12954	25832
501	12979	25803
502	13006	25781
503	13034	25758
504	13056	25725
505	13083	25702
506	13111	25680
507	13139	25659
508	13166	25634
509	13195	25614
510	13221	25589
511	13248	25564
512	13274	25539
513	13302	25518
514	13328	25492
515	13354	25466
516	13377	25435
517	13403	25410
518	13430	25385
519	13456	25360
520	13482	25335
521	13508	25309
522	13535	25284
523	13561	25260
524	13587	25233
525	13613	25208
526	13640	25184
527	13666	25158
528	13687	25123
529	13716	25103
530	13741	25076
531	13767	25050
532	13793	25024
533	13819	24998
534	13844	24971
535	13869	24943
536	13894	24916
537	13919	24890
538	13943	24860
539	13968	24833
540	13995	24808
541	14021	24783
542	14045	24754
543	14071	24727
544	14098	24704
545	14124	24678
546	14150	24653
547	14175	24625
548	14200	24599
549	14227	24574
550	14254	24550
551	14279	24523
552	14305	24497
553	14331	24472
554	14356	24444
555	14381	24417
556	14407	24391
557	14433	24365
558	14458	24338
559	14484	24313
560	14511	24289
561	14538	24266
562	14565	24241
563	14589	24212
564	14614	24185
565	14641	24161
566	14666	24133
567	14693	24109
568	14721	24088
569	14748	24063
570	14774	24038
571	14801	24014
572	14828	23989
573	14854	23963
574	14881	23939
575	14907	23914
576	14935	23891
577	14961	23865
578	14988	23841
579	15014	23816
580	15039	23788
581	15066	23765
582	15094	23741
583	15118	23713
584	15145	23689
585	15171	23662
586	15197	23637
587	15223	23612
588	15248	23585
589	15273	23557
590	15298	23530
591	15324	23503
592	15346	23473
593	15373	23448
594	15400	23423
595	15424	23395
596	15450	23370
597	15474	23341
598	15501	23317
599	15527	23291
600	15553	23266
601	15581	23242
602	15607	23216
603	15633	23191
604	15660	23167
605	15686	23141
606	15713	23117
607	15742	23095
608	15766	23067
609	15793	23042
610	15818	23015
611	15845	22990
612	15870	22964
613	15897	22939
614	15924	22915
615	15947	22885
616	15973	22859
617	15999	22833
618	16024	22806
619	16051	22782
620	16080	22761
621	16107	22737
622	16134	22712
623	16161	22688
624	16186	22661
625	16211	22633
626	16237	22608
627	16263	22581
628	16289	22556
629	16317	22533
630	16342	22506
631	16400	22525
632	16426	22499
633	16452	22473
634	16475	22442
635	16501	22417
636	16526	22389
637	16551	22363
638	16578	22337
639	16603	22310
640	16629	22285
641	16656	22260
642	16683	22236
643	16709	22210
644	16734	22183
645	16760	22157
646	16784	22128
647	16811	22104
648	16838	22079
649	16864	22054
650	16890	22027
651	16915	22000
652	16940	21973
653	16965	21946
654	16990	21919
655	17017	21894
656	17044	21869
657	17071	21844
658	17095	21817
659	17120	21789
660	17147	21765
661	17174	21740
662	17200	21715
663	17226	21688
664	17249	21659
665	17275	21633
666	17301	21606
667	17327	21581
668	17353	21555
669	17380	21531
670	17406	21504
671	17433	21480
672	17459	21454
673	17485	21429
674	17511	21403
675	17535	21374
676	17560	21347
677	17586	21321
678	17613	21296
679	17638	21269
680	17665	21245
681	17691	21218
682	17714	21190
683	17740	21163
684	17767	21140
685	17793	21113
686	17819	21087
687	17844	21060
688	17870	21035
689	17896	21009
690	17922	20982
691	17948	20957
692	17973	20930
693	17997	20901
694	18022	20875
695	18050	20850
696	18075	20824
697	18102	20799
698	18129	20774
699	18155	20749
700	18183	20725
701	18206	20696
702	18233	20671
703	18260	20646
704	18286	20620
705	18312	20595
706	18339	20570
707	18367	20546
708	18389	20516
709	18417	20492
710	18442	20465
711	18467	20439
712	18493	20412
713	18516	20383
714	18543	20359
715	18567	20330
716	18592	20303
717	18617	20277
718	18642	20250
719	18669	20225
720	18696	20200
721	18723	20175
722	18750	20150
723	18774	20122
724	18802	20098
725	18829	20074
726	18856	20049
727	18880	20021
728	18906	19996
729	18933	19971
730	18960	19946
731	18986	19920
732	19014	19896
733	19039	19869
734	19065	19843
735	19091	19817
736	19117	19791
737	19140	19763
738	19168	19739
739	19194	19713
740	19218	19685
741	19245	19660
742	19270	19633
743	19296	19607
744	19324	19583
745	19348	19556
746	19373	19529
747	19398	19501
748	19423	19475
749	19450	19450
750	19477	19425
751	19503	19399
752	19530	19374
753	19555	19348
754	19581	19322
755	19606	19295
756	19632	19269
757	19660	19245
758	19685	19218
759	19711	19193
760	19738	19167
761	19765	19142
762	19790	19116
763	19814	19088
764	19841	19063
765	19867	19037
766	19895	19013
767	19922	18988
768	19949	18963
769	19977	18939
770	20004	18914
771	20029	18888
772	20056	18863
773	20082	18837
774	20110	18812
775	20134	18785
776	20159	18758
777	20184	18732
778	20212	18707
779	20238	18682
780	20263	18654
781	20290	18629
782	20316	18604
783	20342	18578
784	20369	18552
785	20395	18527
786	20422	18501
787	20450	18477
788	20477	18452
789	20502	18426
790	20527	18399
791	20550	18370
792	20576	18345
793	20602	18319
794	20627	18292
795	20653	18266
796	20679	18240
797	20707	18216
798	20733	18190
799	20761	18166
800	20787	18140
801	20814	18115
802	20841	18090
803	20869	18065
804	20894	18039
805	20921	18014
806	20945	17986
807	20972	17961
808	21000	17937
809	21026	17911
810	21053	17886
811	21084	17864
812	21111	17839
813	21136	17813
814	21162	17787
815	21188	17761
816	21214	17734
817	21241	17709
818	21268	17685
819	21294	17658
820	21320	17632
821	21346	17607
822	21376	17584
823	21406	17561
824	21433	17536
825	21460	17511
826	21487	17485
827	21514	17460
828	21541	17435
829	21568	17410
830	21594	17384
831	21618	17357
832	21646	17332
833	21672	17306
834	21697	17279
835	21724	17255
836	21749	17227
837	21775	17202
838	21803	17177
839	21830	17152
840	21857	17127
841	21883	17101
842	21908	17074
843	21932	17047
844	21959	17022
845	21986	16996
846	22013	16971
847	22040	16946
848	22067	16921
849	22094	16895
850	22121	16870
851	22147	16844
852	22175	16819
853	22202	16795
854	22230	16770
855	22258	16745
856	22284	16719
857	22311	16694
858	22338	16669
859	22363	16642
860	22389	16616
861	22415	16590
862	22439	16563
