날짜,종목명,종가,시그널,open,high,low,volume,rsi,macd,action,sp500,vix,ma5,ma20,ma60,stoch_k,stoch_d,stoch_prev_k,stoch_prev_d,obv,sp500_ma20,vix_change,ma5_20_ratio,ma20_60_ratio,close_ma60_ratio,vol_change,macd_change,stoch_k_change,sp500_ma_ratio,vix_value,target
2025-09-17,KT,49394.671875,매수,49782.08106617647,50072.63795955882,49297.81957720588,360626.0,33.33333333333333,-876.2389407353257,매도,6600.35009765625,15.720000267028809,270672.365625,212259.832421875,159229.3578125,38.7675649519801,19.699364721052575,39.371668981513,12.687258684718978,-20319935924.0,6600.35009765625,0.0,1.2751935330233735,1.3330445800819022,0.31021083394159343,0.777069279023126,-32771.45768453609,-0.6041040295328983,1.0,15.720000267028809,1
2025-09-17,SK하이닉스,332591.90625,관망,340071.4843515742,341567.39997188904,332591.90625,4498866.0,77.08335618201863,18129.393261740217,매도,6600.35009765625,15.720000267028809,320210.6296875,225503.680078125,163618.75520833334,45.26752667161074,27.71180589188997,38.7675649519801,19.699364721052575,-20315437058.0,6600.35009765625,0.0,1.4199796188539544,1.3782263518078628,2.0327248292930453,11.475157087952615,19005.632202475543,6.49996171963064,1.0,15.720000267028809,2
2025-09-17,NC,238800.0,관망,224372.5,239297.5,224372.5,192579.0,77.01674277016744,6674.801660811063,매도,6600.35009765625,15.720000267028809,131475.529296875,201502.26005859376,159193.66507161458,10.023106757839871,7.479445338335024,4.197083976952621,7.826664620668272,-20315505494.0,6600.35009765625,0.0,0.652476698070999,1.2657680817132158,1.5000596907708221,11.8386,7716.872745970279,5.82602278088725,1.0,15.720000267028809,2
2025-09-17,카카오,62412.546875,매도,62911.84725,63211.427475,62312.6868,992359.0,46.66667709792896,463.23642263889633,관망,6600.35009765625,15.720000267028809,63425.01953125,152422.53642578126,151792.6394856771,16.72660673892403,18.607202378494954,28.126199149404936,15.395749884333819,-20338084796.0,6600.35009765625,0.0,0.4161131353573387,1.0041497199221152,0.4111697845592121,1.979251853853313,430.6234972521106,-11.399592410480906,1.0,15.720000267028809,0
2025-09-17,삼성전기,190357.0,관망,190059.72201978136,194122.5210827694,188870.6100989068,462395.0,89.947068538088,10042.566528739088,매도,6600.35009765625,15.720000267028809,86351.634375,109172.80087890624,153816.63466796876,47.61681824564773,28.398565108769652,21.24721260874049,22.822897633687237,-20336617224.0,6600.35009765625,0.0,0.790962892586961,0.7097593905533595,1.237557956009816,-0.5399864899415725,10126.85953140774,26.369605636907238,1.0,15.720000267028809,2
2025-09-17,영원무역홀딩스,138481.390625,관망,140120.79427446032,144556.8276788823,137034.85799312327,29565.0,75.36232632757493,3329.559182395955,매도,6600.35009765625,15.720000267028809,106485.75234375,99218.80107421875,154388.71806640626,55.528015832745126,37.23552493863043,45.05897126709542,31.755161601962385,-20336650017.0,6600.35009765625,0.0,1.0732416758805154,0.6426557737952224,0.8969657392027561,-0.5258828057346291,2191.08667572125,10.469044565649703,1.0,15.720000267028809,2
2025-09-17,KCC,414226.65625,관망,424508.8782136525,424508.8782136525,411288.8785460993,16363.0,70.83332040607831,14361.335732005537,매도,6600.35009765625,15.720000267028809,176848.57421875,102430.13388671874,154106.9685872396,61.67068690932117,46.224340972709854,55.528015832745126,37.23552493863043,-20336633654.0,6600.35009765625,0.0,1.7265287812113312,0.6646690595872262,2.6879164521071433,-0.44654151868763736,11031.776549609582,6.142671076576043,1.0,15.720000267028809,2
2025-09-17,HD현대중공업,502601.125,관망,502601.125,504587.69071146246,496144.7864377471,128724.0,51.562497439670445,10873.689696135409,매도,6600.35009765625,15.720000267028809,264029.1234375,128479.16357421875,158956.49306640626,48.55593909582108,52.73206538154951,30.873081591880204,54.126480728934325,-20337131307.0,6600.35009765625,0.0,2.0550345759760327,0.8082662186095463,3.161878544904935,0.007782040241133714,7973.1135279115715,17.682857503940877,1.0,15.720000267028809,2
2025-09-17,HD현대마린엔진,88700.0,매도,91300.0,91300.0,87900.0,166092.0,58.02919708029197,4402.45313911789,매도,6600.35009765625,15.720000267028809,178961.36875,131156.0359375,155070.4562174479,43.01402700512546,45.081291177797446,51.96943059397062,50.7918141184794,-20337422726.0,6600.35009765625,0.0,1.3644920530785234,0.8457835176133496,0.5719980592281242,0.32526909604474685,2697.011509170974,-8.955403588845158,1.0,15.720000267028809,0
2025-09-17,삼양식품,1574699.25,관망,1576695.066539924,1591663.6905893537,1563722.2590304182,34685.0,45.77777728291525,43201.280004642205,매도,6600.35009765625,15.720000267028809,433529.4515625,232798.18134765624,184660.78020833334,73.54008175526415,41.81281010492374,42.681558571025924,31.59820888884861,-20338208618.0,6600.35009765625,0.0,1.8622544602918336,1.2606801567989399,8.527524080768165,-0.7499873858418689,44297.81264914975,30.85852318423823,1.0,15.720000267028809,2
