Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,15705.59789889283,15847.089771855828,15186.794364695168,15375.4501953125,931251,41.758249509434506,-73.73870896173321,-30.62620006329149,매도
2022-01-24,15233.957480026294,15564.10516535194,14526.498154328478,14573.662109375,1143345,35.18518838050683,-130.1116734389434,-51.24889117600462,매도
2022-01-25,14620.826727175245,14762.318598728554,14243.515069699753,14432.1708984375,693102,35.51402936182747,-179.8331638581658,-77.71057592220293,매도
2022-01-26,14243.515625,14573.663338162252,14196.351665976821,14243.515625,586798,37.62377800547204,-227.19586356290347,-108.29636417319298,매도
2022-01-27,14243.51490794362,14290.678864592439,13441.72764491368,13488.8916015625,930860,26.168236235264615,-308.25786987791616,-149.02231889212356,매도
2022-01-28,13441.726572464924,13913.366101323341,13205.906808035714,13866.2021484375,779796,28.828818745704964,-342.60136219214473,-188.3042396925411,매도
2022-02-03,14385.007502069537,14526.499379139073,14196.351665976821,14243.515625,660204,35.0877412849009,-340.34232106606214,-219.06652092285725,매도
2022-02-04,14243.515625,14385.007502069537,14054.859788907284,14243.515625,499735,33.33332711540463,-334.51777608902194,-242.3717245192544,매도
2022-02-07,14337.842334142395,15045.30165984021,14102.022558909788,14573.662109375,1070059,32.727277518674185,-303.87745060267116,-254.7643108835673,매도
2022-02-08,14573.662109375,14573.662109375,14573.662109375,14573.662109375,0,32.727277518674185,-276.51191491232385,-259.1396591870426,매도
2022-02-09,14573.662109375,14573.662109375,14573.662109375,14573.662109375,0,37.113403822357064,-251.99397825160486,-257.703742073104,관망
2022-02-10,14573.661893067996,14715.153756107491,14479.333984375,14479.333984375,487854,40.449429837367255,-236.52126996929474,-253.4511819343697,관망
2022-02-11,14385.006298828126,14432.170253906252,14102.022568359376,14149.1865234375,517348,39.5604385602852,-244.88651190726523,-251.73305520955134,관망
2022-02-14,14149.185865752552,14385.00563018176,13866.2021484375,13866.2021484375,519559,27.380939175790118,-268.60119374851274,-255.11485961867774,매도
2022-02-15,13819.03862997405,14007.694447448097,13536.054903762975,13630.3828125,420726,27.710830749902897,-300.82376602791555,-264.2743579469633,매도
2022-02-16,13913.367502097315,14149.187290268455,13866.203544463087,14054.859375,440945,42.66667807780482,-291.8674367554686,-269.80152658786994,매도
2022-02-17,14149.1865234375,14337.84234375,13866.20279296875,14149.1865234375,460677,45.94593687113447,-274.6370665722079,-270.7698332903749,매도
2022-02-24,13913.366757946735,13960.530713058419,13677.546982388316,13724.7109375,533403,39.62261718447838,-208.79277407702284,-228.9117861301878,관망
2022-02-25,13960.531563545152,14196.3513534699,13771.87573160535,14102.0234375,591202,40.740764883166285,-197.8774094862947,-222.7028959013323,관망
2022-02-28,14102.0234375,14102.0234375,14102.0234375,14102.0234375,0,40.740764883166285,-187.06121216016072,-215.57270805049907,관망
2022-03-04,15186.793924660122,15705.597443825529,15045.302055796828,15611.26953125,1393941,70.12986768527892,49.35462014048062,-122.91544428296388,매도
2022-03-07,15847.088653846153,15894.252608173076,15233.957247596152,15328.28515625,870251,70.12986768527892,103.03318172115905,-77.72091317525893,매도
2022-03-08,15375.448782026397,15847.08831521739,15092.465062111802,15186.79296875,996674,71.9999812268476,132.99901767192205,-35.57334148695922,매도
2022-03-11,15045.302796708776,15564.106341422872,14903.81092087766,15516.9423828125,868564,70.42252987157818,195.85069350953017,41.19715084816727,매도
2022-03-18,14998.138534077838,15375.4501953125,14903.810618769172,15375.4501953125,503460,74.6478651437017,195.9733610607127,143.5842209603838,매도
2022-03-21,15375.4501953125,15375.4501953125,15375.4501953125,15375.4501953125,0,71.4285432575933,203.79886472850194,155.62732159888338,매도
2022-03-22,15469.776586174243,15847.088210227274,15328.284727154356,15564.1044921875,824930,73.13428684537215,222.3724398707218,168.9764976738971,매도
2022-03-31,15564.10525438262,15847.088986280487,15422.613388433689,15469.77734375,453954,48.71791740751575,232.45229300954998,238.6847302950412,매도
2022-04-01,15469.77789834105,15611.269769362461,15281.1220703125,15281.1220703125,346021,52.77782091476878,199.0717825589236,230.76212557112217,매도
2022-04-04,15281.121416284403,15516.941191227064,15139.629551318807,15422.61328125,252985,56.410290443389925,181.83391816922267,220.97646909426732,매도
2022-04-05,15469.776799535604,15516.940753192725,15045.301216621518,15233.95703125,646904,53.6585279631054,151.33347077675353,207.0478523543301,매도
2022-04-06,15045.3011087927,15328.284828707297,15045.3011087927,15186.79296875,387078,52.38093829541472,121.98021479567069,190.0343081557626,매도
2022-04-07,14950.974398561508,15092.466269841269,14715.154613095237,14856.646484375,689133,37.20925865199735,71.44868579192553,166.31716507363018,매도
2022-04-08,14762.318570188492,14998.13835565476,14667.990656001984,14856.646484375,392816,37.20925865199735,31.04706162760158,139.2631274023298,매도
2022-04-11,15045.302629962656,15233.958462313285,14950.974713787342,14998.138671875,488332,35.714296278438965,10.258556946640965,113.46220035478851,매도
2022-04-12,14903.8095703125,14950.973524648933,14715.153752966773,14903.8095703125,261175,32.55808802250088,-13.62575999692308,88.04459807331817,매도
2022-04-13,14950.97395324707,15139.629776000977,14856.646041870117,15092.4658203125,295625,32.558055547262555,-17.212853199293022,66.99310105310565,매도
2022-04-14,15139.629338942306,15375.449110576923,14998.137475961537,15328.28515625,526458,39.583262337066266,-1.1082310277197394,53.37283113503179,매도
2022-04-15,15186.794364695168,15469.778110621166,15045.30249173217,15375.4501953125,386588,39.58336658469218,15.266382696187065,45.75153987965416,매도
2022-04-18,15422.613941333913,15422.613941333913,15233.958113305363,15281.1220703125,362943,46.34147942737122,20.427902386865753,40.686811547693125,매도
2022-04-19,15281.1220703125,15328.286027319638,15092.466242283952,15281.1220703125,552379,42.10530043961457,24.23866963862929,37.39718273283242,매도
2022-04-20,15233.957579227077,15233.957579227077,14998.137802458856,15045.3017578125,394197,39.02439886613677,8.204464620719591,31.558638495539377,매도
2022-04-21,15139.6290154309,15281.120875388198,15045.3011087927,15186.79296875,260789,47.49997023558405,6.798031371581601,26.606516653532378,매도
2022-04-22,14998.137478985363,15045.301433321796,14856.645615976067,14903.8095703125,383239,37.20930792473727,-16.884980742719563,17.908216588017723,매도
2022-04-25,14715.155376397764,14856.647255016973,14620.827457318292,14762.3193359375,348445,38.09528269935275,-46.50113913749192,5.026344748326644,매도
2022-04-26,14903.809352607484,15092.465167197453,14809.4814453125,14809.4814453125,427092,40.47618225963494,-65.42155778724737,-9.063236366555122,매도
2022-04-27,14620.825844293908,15092.465387658229,14432.17002694818,14903.8095703125,574372,51.351327151840536,-71.99282831347045,-21.64915519026228,매도
2022-04-28,14903.81012119391,14998.138033353365,14620.826384715545,14715.154296875,493898,46.3414523288875,-91.3352323956151,-35.58637101609735,매도
2022-04-29,14715.153538017517,14856.645398959992,14620.825630722533,14809.4814453125,347830,44.999956000337505,-97.93922281142477,-48.05694165058272,매도
2022-05-02,14620.82636657905,15233.957794854945,14620.82636657905,15139.6298828125,623405,55.555576005654046,-75.7119031699549,-53.58793405218133,매도
2022-05-03,15281.122313682965,15281.122313682965,14903.810651616719,14950.974609375,472334,46.666675869215226,-72.45667830964703,-57.36168295701555,매도
2022-05-04,15045.3017578125,15233.957579227077,14950.973847105211,15045.3017578125,459555,42.857135814374026,-61.56842908097315,-58.20303219132089,매도
2022-05-06,14950.97395324707,15092.4658203125,14856.646041870117,15092.4658203125,332574,42.85710764328133,-48.57961664832874,-56.27834906531128,관망
